Words,Berries
this ,this 
house,house
door,door
mosque,mosque
book,book
key,key
chair,chair
pen,pen
bed,bed
desk,desk
what is this?,what is this?
shirt,shirt
no,no
yes,yes
star,star
who is this?,who is this?
doctor,doctor
boy,boy
student,student
man,man
merchant,merchant
dog,dog
cat,cat
donkey,donkey
horse,horse
rooster,rooster
camel,camel
teacher,teacher
handkerchief,handkerchief
